Payload,Orbit,Customer,Flight_No.,Date,Time,Version_Booster,Launch_site,Payload_mass,Launch_outcome,Booster_landing,Class
Türksat 5B,GTO,Turksat,133,19 December 2021,03:58,F9 B5,CCSFS,"4,500 kg","Success
",Success,1
SpaceX CRS-24,LEO,NASA,134,21 December 2021,10:06,F9 B5,KSC,"2,989 kg","Success
",Success,1
Starlink,LEO,SpaceX,135,6 January 2022,21:49,F9 B5,KSC,"~14,500 kg","Success
",Success,1
,SSO,Various,136,13 January 2022,15:25:38,F9 B5,CCSFS,U,"Success
",Success,1
Starlink,LEO,SpaceX,137,19 January 2022,02:02:40,F9 B5,KSC,"~14,500 kg","Success
",Success,1
CSG-2,SSO,SpaceX,138,31 January 2022,23:11,F9 B5,CCSFS,"2,205 kg","Success
",Success,1
NROL-87,SSO,NRO,139,2 February 2022,20:27,F9 B5,VSFB,C,Success,Success,1
Starlink,LEO,SpaceX,140,3 February 2022,18:13,F9 B5,KSC,"~14,500 kg","Success
",Success,1
Starlink,LEO,SpaceX,141,21 February 2022,14:44,F9 B5,CCSFS,"~13,600 kg","Success
",Success,1
Starlink,LEO,SpaceX,142,25 February 2022,17:12,F9 B5,VSFB,"~14,750 kg","Success
",Success,1
Starlink,LEO,SpaceX,143,3 March 2022,14:25,F9 B5,KSC,"~13,900 kg","Success
",Success,1
Starlink,LEO,SpaceX,144,9 March 2022,13:45,F9 B5B1052.4,CCSFS,"~14,160 kg","Success
",Success,1
Starlink,LEO,SpaceX,145,19 March 2022,04:42,F9 B5,CCSFS,"~16,250 kg","Success
",Success,1
,SSO,Various,146,1 April 2022,16:24,F9 B5,CCSFS,U,"Success
",Success,1
Axiom-1,LEO,SpaceX,147,8 April 2022,15:17:11,F9 B5,KSC,"~13,000 kg","Success
",Success,1
NROL-85,LEO,NRO,148,17 April 2022,13:13:12,F9 B5,VSFB,C,Success,Success,1
Starlink Group 4-14,LEO,SpaceX,149,21 April 2022,17:51,F9 B5,CCSFS,"~16,250 kg","Success
",Success,1
Crew-4,LEO,NASA,150,27 April 2022,07:52,F9 B5B1067.4,KSC,"~13,000 kg","Success
",Success,1
Starlink Group 4-16,LEO,SpaceX,151,29 April 2022,21:27,F9 B5,CCSFS,"~16,250 kg","Success
",Success,1
Starlink Group 4-17,LEO,SpaceX,152,6 May 2022,09:46,F9 B5,KSC,"~16,250 kg","Success
",Success,1
Starlink Group 4-13,LEO,SpaceX,153,13 May 2022,22:07,F9 B5,VSFB,"~16,250 kg","Success
",Success,1
Starlink Group 4-15,LEO,SpaceX,154,14 May 2022,20:40,F9 B5,CCSFS,"~16,250 kg","Success
",Success,1
Starlink Group 4-18,LEO,SpaceX,155,18 May 2022,10:59,F9 B5,KSC,"~16,250 kg","Success
",Success,1
